Date,HA_open,HA_high,HA_low,HA_close,max_high,max_low,trand-line,Symbol,Qty,position,Buy/Sell,Entry Price,Exit Price,strategy_returns,returns
2023-06-01T09:15:00+0530,44077.2,44172.05,43978.4,44076.2125,,,44076.2125,Bank,25,1,Buy,44076.2125,0,0.0,500000.0
2023-06-01T09:30:00+0530,44076.70625,44087.05,43972.2,44023.075,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T09:45:00+0530,44049.890625,44148.05,44041.0,44084.149999999994,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T10:00:00+0530,44067.0203125,44114.85,44059.85,44086.0,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T10:15:00+0530,44076.51015625,44108.6,44035.55,44075.0375,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T10:30:00+0530,44075.773828125,44132.15,44069.65,44097.475000000006,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T10:45:00+0530,44086.624414062506,44119.9,44079.4,44101.275,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T11:00:00+0530,44093.94970703125,44115.7,44054.7,44095.612499999996,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T11:15:00+0530,44094.78110351562,44124.05,44071.9,44096.2125,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T11:30:00+0530,44095.49680175781,44114.0,44063.55,44091.325000000004,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T11:45:00+0530,44093.41090087891,44141.8,44085.95,44106.6875,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T12:00:00+0530,44100.049200439455,44101.55,44043.9,44075.175,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T12:15:00+0530,44087.61210021973,44126.15,44045.1,44090.375,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T12:30:00+0530,44088.993550109866,44164.0,44088.993550109866,44130.8375,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T12:45:00+0530,44109.91552505494,44128.2,44081.45,44111.0125,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T13:00:00+0530,44110.46401252747,44143.6,44105.25,44125.149999999994,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T13:15:00+0530,44117.80700626373,44171.1,44114.7,44145.149999999994,,44023.075,43972.2,,,,,,,0.0,500000.0
2023-06-01T13:30:00+0530,44131.47850313186,44177.95,44131.47850313186,44152.9875,44152.9875,44023.075,44177.95,Bank,25,0,Buy_Exit,0.0,44152.9875,1919.3750000000364,501919.37500000006
2023-06-01T13:45:00+0530,44142.23300156593,44149.55,44020.9,44087.025,44152.9875,44023.075,44177.95,Bank,25,-1,Sell,44087.025,0,0.0,501919.37500000006
2023-06-01T14:00:00+0530,44114.62900078297,44114.62900078297,44000.05,44029.3625,44152.9875,44023.075,44177.95,,,,,,,0.0,501919.37500000006
2023-06-01T14:15:00+0530,44071.995750391485,44071.995750391485,43927.3,43989.575000000004,44152.9875,44023.075,44177.95,,,,,,,0.0,501919.37500000006
2023-06-01T14:30:00+0530,44030.785375195745,44030.785375195745,43923.9,43968.575000000004,44152.9875,44023.075,44177.95,,,,,,,0.0,501919.37500000006
2023-06-01T14:45:00+0530,43999.68018759787,43999.68018759787,43910.0,43941.2375,44152.9875,44023.075,44177.95,,,,,,,0.0,501919.37500000006
2023-06-01T15:00:00+0530,43970.45884379894,43970.45884379894,43794.65,43871.8375,44152.9875,44023.075,44177.95,,,,,,,0.0,501919.37500000006
2023-06-01T15:15:00+0530,43921.14817189947,43921.14817189947,43708.25,43773.75,44152.9875,43773.75,43708.25,Bank,25,0,Sell_exit,0.0,43773.75,7831.875000000036,509751.25000000006
2023-06-02T09:15:00+0530,43847.44908594973,44039.9,43847.44908594973,43974.9625,44152.9875,43773.75,43708.25,Bank,25,1,Buy,43974.9625,0,0.0,509751.25000000006
2023-06-02T09:30:00+0530,43911.20579297487,44007.4,43911.20579297487,43974.162500000006,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T09:45:00+0530,43942.68414648744,44011.65,43879.7,43941.7625,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T10:00:00+0530,43942.223323243714,43942.223323243714,43825.35,43865.925,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T10:15:00+0530,43904.07416162186,43904.07416162186,43813.65,43842.950000000004,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T10:30:00+0530,43873.512080810935,43904.0,43838.8,43865.475000000006,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T10:45:00+0530,43869.49354040547,43936.3,43869.49354040547,43899.412500000006,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T11:00:00+0530,43884.45302020274,43935.05,43882.45,43914.81249999999,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T11:15:00+0530,43899.63276010136,43938.8,43892.6,43922.350000000006,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T11:30:00+0530,43910.991380050684,43997.85,43910.55,43948.22499999999,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T11:45:00+0530,43929.608190025334,43988.2,43929.608190025334,43969.175,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T12:00:00+0530,43949.39159501267,43995.35,43949.39159501267,43977.1125,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T12:15:00+0530,43963.252047506336,43976.15,43936.05,43960.762500000004,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T12:30:00+0530,43962.007273753174,44005.6,43957.95,43975.125,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T12:45:00+0530,43968.56613687659,43999.95,43968.56613687659,43982.175,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T13:00:00+0530,43975.370568438295,44061.15,43958.6,44011.3375,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T13:15:00+0530,43993.35403421915,44071.75,43993.35403421915,44049.774999999994,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T13:30:00+0530,44021.56451710957,44074.65,44021.56451710957,44057.675,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T13:45:00+0530,44039.619758554785,44088.9,44017.7,44053.2875,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T14:00:00+0530,44046.45362927739,44072.0,43935.15,44003.5875,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T14:15:00+0530,44025.0205646387,44025.0205646387,43840.15,43916.2375,44152.9875,43773.75,43708.25,,,,,,,0.0,509751.25000000006
2023-06-02T14:30:00+0530,43970.62903231935,43970.62903231935,43844.3,43889.1375,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-02T14:45:00+0530,43929.883266159675,43947.8,43860.8,43908.100000000006,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-02T15:00:00+0530,43918.991633079844,44020.75,43918.991633079844,43964.0375,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-02T15:15:00+0530,43941.51456653992,43961.35,43852.3,43911.162500000006,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T09:15:00+0530,43926.33853326996,44217.5,43926.33853326996,44157.725,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T09:30:00+0530,44042.03176663498,44215.4,44042.03176663498,44187.137500000004,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T09:45:00+0530,44114.58463331749,44245.7,44114.58463331749,44215.1375,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T10:00:00+0530,44164.86106665875,44238.3,44164.86106665875,44212.2875,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T10:15:00+0530,44188.57428332938,44230.0,44185.8,44200.262500000004,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T10:30:00+0530,44194.41839166469,44194.41839166469,44151.95,44173.5625,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T10:45:00+0530,44183.99044583234,44212.55,44165.95,44186.9375,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T11:00:00+0530,44185.46397291617,44254.7,44185.46397291617,44224.774999999994,44152.9875,43889.1375,43844.3,,,,,,,0.0,509751.25000000006
2023-06-05T11:15:00+0530,44205.11948645808,44261.95,44205.11948645808,44250.5625,44250.5625,43889.1375,44261.95,Bank,25,0,Buy_Exit,0.0,44250.5625,6889.999999999964,516641.25000000006
2023-06-05T11:30:00+0530,44227.84099322904,44260.05,44207.0,44236.325000000004,44250.5625,43889.1375,44261.95,Bank,25,-1,Sell,44236.325000000004,0,0.0,516641.25000000006
2023-06-05T11:45:00+0530,44232.082996614525,44232.082996614525,44187.6,44205.612499999996,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T12:00:00+0530,44218.847748307264,44218.847748307264,44158.85,44192.1875,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T12:15:00+0530,44205.51762415363,44220.35,44171.8,44201.0375,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T12:30:00+0530,44203.277562076815,44207.8,44182.65,44198.9375,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T12:45:00+0530,44201.107531038404,44226.15,44194.8,44210.40000000001,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T13:00:00+0530,44205.753765519206,44223.55,44165.85,44198.9375,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T13:15:00+0530,44202.34563275961,44245.9,44174.85,44205.1125,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T13:30:00+0530,44203.729066379805,44223.7,44195.3,44212.0625,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T13:45:00+0530,44207.8957831899,44251.15,44200.1,44227.7,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T14:00:00+0530,44217.79789159495,44265.25,44182.6,44223.6375,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T14:15:00+0530,44220.71769579747,44220.71769579747,44168.5,44195.4875,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T14:30:00+0530,44208.10259789874,44213.05,44173.5,44188.925,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T14:45:00+0530,44198.51379894937,44198.51379894937,44122.25,44160.7875,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T15:00:00+0530,44179.650649474686,44179.650649474686,44075.7,44125.1875,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-05T15:15:00+0530,44152.41907473734,44152.41907473734,44078.2,44112.149999999994,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T09:15:00+0530,44132.28453736867,44181.95,44101.25,44154.7375,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T09:30:00+0530,44143.51101868434,44187.0,44131.4,44162.275,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T09:45:00+0530,44152.893009342166,44165.75,44084.15,44126.575,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T10:00:00+0530,44139.73400467108,44139.73400467108,44064.2,44093.225,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T10:15:00+0530,44116.47950233554,44116.47950233554,44054.0,44072.174999999996,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T10:30:00+0530,44094.327251167764,44094.327251167764,44055.9,44072.725000000006,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T10:45:00+0530,44083.526125583885,44095.3,44027.0,44059.475000000006,44250.5625,43889.1375,44261.95,,,,,,,0.0,516641.25000000006
2023-06-06T11:00:00+0530,44071.500562791945,44071.500562791945,44011.0,44036.225,44250.5625,44036.225,44011.0,Bank,25,0,Sell_exit,0.0,44036.225,5002.5000000001455,521643.7500000002
2023-06-06T11:15:00+0530,44053.862781395976,44072.55,44009.7,44047.462499999994,44250.5625,44036.225,44011.0,Bank,25,1,Buy,44047.462499999994,0,0.0,521643.7500000002
2023-06-06T11:30:00+0530,44050.662640697985,44083.0,44050.662640697985,44067.375,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
2023-06-06T11:45:00+0530,44059.018820348996,44104.3,44057.35,44077.425,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
2023-06-06T12:00:00+0530,44068.2219101745,44102.05,44066.45,44083.91249999999,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
2023-06-06T12:15:00+0530,44076.067205087245,44106.15,44069.8,44091.200000000004,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
2023-06-06T12:30:00+0530,44083.633602543625,44126.65,44081.3,44101.512500000004,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
2023-06-06T12:45:00+0530,44092.573051271815,44109.5,44054.05,44087.737499999996,44250.5625,44036.225,44011.0,,,,,,,0.0,521643.7500000002
